individual,name,age
HRR051935,Yumin,8415
HRR051936,Bianbian,9545
HRR051937,Boshan,8320
HRR051938_HRR051939_HRR051940,Xiaojingshan,7935
HRR051941,Xiaogao,8777
HRR051942,Qihe,8428
HRR051943_HRR051944,Liangdao,8320
HRR051945,Suogang,4800
HRR051947_HRR051948_HRR051949_HRR051950,Xitoucun,4644
HRR051955_HRR051956_HRR051958,Tanshishan,4526
HRR051960,Chuanyun,334
